Date,Open,High,Low,Close,Volume,Adj Close
2014-11-28,6200.00,6300.00,6160.00,6204.05,19500,6087.37
2014-11-27,6239.00,6309.85,6202.00,6225.70,10700,6108.62
2014-11-26,6338.55,6410.00,6240.00,6260.35,15700,6142.62
2014-11-25,6280.00,6435.70,6269.95,6338.55,56100,6219.34
2014-11-24,6273.50,6319.00,6201.00,6304.05,13800,6185.49
2014-11-21,6110.05,6345.00,6110.05,6336.40,26500,6217.24
2014-11-20,6100.00,6179.00,6050.00,6158.90,16400,6043.07
2014-11-19,6125.00,6238.75,6039.00,6078.20,20800,5963.89
2014-11-18,6292.20,6344.55,6140.00,6159.55,26600,6043.71
2014-11-17,6333.70,6337.00,6220.00,6292.20,13600,6173.87
2014-11-14,6330.00,6375.00,6280.00,6316.50,10900,6197.71
2014-11-13,6355.00,6398.15,6283.00,6332.60,16200,6213.51
2014-11-12,6491.00,6491.00,6305.85,6327.50,18000,6208.50
2014-11-11,6353.00,6500.00,6344.75,6465.65,16900,6344.05
2014-11-10,6447.00,6450.00,6300.00,6351.90,12600,6232.44
2014-11-07,6379.90,6450.00,6257.00,6434.15,18100,6313.15
2014-11-06,6353.55,6353.55,6353.55,6353.55,000,6234.06
2014-11-05,6400.00,6400.00,6280.10,6353.55,16100,6234.06
2014-11-04,6362.65,6362.65,6362.65,6362.65,000,6242.99
2014-11-03,6261.00,6402.00,6167.05,6362.65,32900,6242.99
2014-10-31,6133.00,6300.00,6099.95,6257.20,29400,6139.52
2014-10-30,6061.20,6189.90,6061.20,6133.15,20300,6017.81
2014-10-29,5947.00,6150.00,5925.15,6128.50,36900,6013.24
2014-10-28,6142.00,6149.90,5920.00,5948.05,20300,5836.19
2014-10-27,6010.00,6139.00,6001.00,6099.90,25100,5985.18
2014-10-24,6009.65,6009.65,6009.65,6009.65,000,5896.63
2014-10-23,6020.00,6022.00,5970.00,6009.65,2000,5896.63
2014-10-22,6001.45,6036.95,5911.35,5971.75,7600,5859.44
2014-10-21,5731.00,5995.00,5731.00,5969.85,21500,5857.58
2014-10-20,5705.05,5794.00,5705.05,5768.90,10600,5660.41
2014-10-17,5794.00,5850.00,5635.00,5695.10,19900,5588.00
2014-10-16,5922.00,5975.00,5705.00,5749.75,23300,5641.62
2014-10-15,5946.05,5946.05,5946.05,5946.05,000,5834.23
2014-10-14,6006.00,6200.00,5901.00,5946.05,20900,5834.23
2014-10-13,5910.00,6095.00,5910.00,6007.40,20000,5894.42
2014-10-10,5965.00,6023.40,5871.05,5893.30,17900,5782.47
2014-10-09,5925.00,6059.90,5925.00,6023.45,12500,5910.17
2014-10-08,5950.00,6023.80,5900.00,5926.70,17900,5815.24
2014-10-07,5961.05,5999.90,5947.00,5957.65,16200,5845.61
2014-10-06,6010.95,6010.95,6010.95,6010.95,000,5897.91
2014-10-03,6010.95,6010.95,6010.95,6010.95,000,5897.91
2014-10-02,6010.95,6010.95,6010.95,6010.95,000,5897.91
2014-10-01,6027.00,6073.80,5960.00,6010.95,20800,5897.91
2014-09-30,6259.00,6259.00,5925.15,5968.65,30700,5856.40
2014-09-29,6050.00,6245.70,6050.00,6206.45,16300,6089.73
2014-09-26,6109.10,6199.00,6048.00,6158.40,15500,6042.58
2014-09-25,6075.00,6248.00,6050.10,6109.10,15500,5994.21
2014-09-24,5999.00,6150.00,5900.00,6129.90,18100,6014.62
2014-09-23,6001.00,6064.85,5881.00,5911.15,12100,5799.98
2014-09-22,6001.00,6090.00,5992.00,6024.75,10900,5911.45
2014-09-19,6225.00,6262.30,5980.00,6052.55,22900,5938.72
2014-09-18,6074.95,6245.00,6020.05,6224.05,14500,6107.00
2014-09-17,6150.00,6169.65,5980.20,6088.45,27100,5973.95
2014-09-16,6325.00,6469.00,6001.10,6146.10,36800,6030.51
2014-09-15,6375.00,6497.00,6274.05,6318.95,16700,6200.11
2014-09-12,6600.00,6600.00,6355.00,6384.60,16700,6244.91
2014-09-11,6425.00,6620.00,6415.55,6552.70,27300,6409.33
2014-09-10,6410.00,6439.00,6344.80,6380.85,18100,6241.24
2014-09-09,6376.10,6475.00,6361.00,6410.00,36600,6269.75
2014-09-08,6230.00,6470.00,6229.90,6399.85,27800,6259.82
2014-09-05,6339.80,6339.80,6155.00,6187.65,18300,6052.26
2014-09-04,6148.50,6299.00,6148.00,6252.95,19800,6116.14
2014-09-03,6005.10,6200.00,6005.10,6149.55,27800,6015.00
2014-09-02,6050.00,6110.00,6048.95,6094.05,11600,5960.71
2014-09-01,6050.00,6143.00,6025.00,6062.00,13500,5929.36
2014-08-29,6028.55,6028.55,6028.55,6028.55,000,5896.65
2014-08-28,5855.00,6155.00,5852.00,6028.55,72800,5896.65
2014-08-27,5897.85,5923.95,5822.45,5898.95,18200,5769.88
2014-08-26,5850.00,5890.00,5802.00,5868.20,12000,5739.80
2014-08-25,5840.00,5850.00,5786.50,5811.70,13900,5684.54
2014-08-22,5840.00,5840.00,5783.10,5809.25,29900,5682.14
2014-08-21,5799.00,5849.90,5750.00,5834.05,17600,5706.40
2014-08-20,5706.80,5819.90,5706.00,5795.80,14400,5668.99
2014-08-19,5608.00,5833.50,5608.00,5764.45,33600,5638.32
2014-08-18,5560.00,5740.05,5546.15,5655.15,27400,5531.42
2014-08-15,5572.30,5572.30,5572.30,5572.30,000,5450.38
2014-08-14,5595.00,5636.00,5430.00,5572.30,27200,5450.38
2014-08-13,5301.60,5643.00,5301.60,5561.05,69300,5439.37
2014-08-12,5339.50,5425.00,5300.10,5334.10,13800,5217.39
2014-08-11,5399.90,5410.00,5280.05,5383.15,18600,5265.37
2014-08-08,5406.00,5406.00,5290.00,5363.35,25900,5246.00
2014-08-07,5315.00,5435.50,5300.05,5405.00,78200,5286.74
2014-08-06,5199.00,5339.95,5162.00,5299.65,40700,5183.69
2014-08-05,5195.00,5220.00,5185.00,5209.50,14800,5095.52
2014-08-04,5222.85,5230.00,5184.40,5208.65,19500,5094.68
2014-08-01,5143.00,5229.00,5110.00,5203.10,23900,5089.26
2014-07-31,5174.00,5198.15,5100.55,5128.35,23900,5016.14
2014-07-30,5126.00,5230.00,5078.00,5181.85,27400,5068.47
2014-07-29,5186.60,5186.60,5186.60,5186.60,000,5073.12
2014-07-28,5174.85,5224.00,5151.25,5186.60,9700,5073.12
2014-07-25,5190.00,5248.40,5139.25,5166.00,29100,5052.97
2014-07-24,5175.80,5203.10,5101.10,5149.10,6800,5036.44
2014-07-23,5202.00,5220.00,5131.00,5171.80,7200,5058.64
2014-07-22,5013.00,5220.00,5013.00,5203.00,49500,5089.16
2014-07-21,4972.10,5055.00,4972.10,5038.55,16100,4928.31
2014-07-18,4975.15,5020.00,4955.00,5012.80,9700,4903.12
2014-07-17,4958.00,5010.00,4951.00,4994.80,9600,4885.51
2014-07-16,4946.35,5010.00,4940.00,4970.55,59900,4861.79
2014-07-15,4959.00,4967.95,4916.00,4946.50,6100,4838.27
2014-07-14,4960.00,4980.10,4925.00,4957.70,8200,4849.23
2014-07-11,4955.00,5019.95,4933.00,4992.00,98700,4882.78
2014-07-10,5050.00,5057.00,4831.20,4954.35,21200,4845.95
2014-07-09,5020.00,5020.00,4971.00,5007.00,16000,4897.45
2014-07-08,5032.00,5048.70,4954.00,4983.20,19300,4874.17
2014-07-07,4999.00,5089.90,4952.65,5022.90,43200,4913.00
2014-07-04,5012.00,5050.00,4962.40,4973.95,22800,4865.12
2014-07-03,4980.00,5010.00,4934.00,4997.95,12900,4888.60
2014-07-02,4935.05,5000.00,4933.85,4989.40,14700,4880.23
2014-07-01,4931.00,4964.70,4920.00,4933.85,15800,4825.90
2014-06-30,4930.00,4949.90,4911.00,4929.75,23700,4821.89
2014-06-27,4950.10,4959.95,4901.00,4936.70,11700,4828.69
2014-06-26,4915.10,4999.00,4915.10,4989.15,11200,4879.99
2014-06-25,4912.00,4964.80,4912.00,4950.80,7700,4842.48
2014-06-24,4940.00,4953.40,4910.00,4928.80,10200,4820.96
2014-06-23,4960.00,4960.00,4906.15,4946.10,12400,4837.88
2014-06-20,4912.00,4990.00,4866.00,4938.15,23100,4830.10
2014-06-19,4915.00,4983.95,4915.00,4939.50,11400,4831.42
2014-06-18,4980.10,5039.00,4911.00,4956.70,17600,4848.25
2014-06-17,4975.00,5012.50,4963.90,5004.20,37800,4894.71
2014-06-16,4938.00,5023.15,4903.20,5006.00,17000,4896.47
2014-06-13,4967.00,5005.10,4930.00,4971.95,50800,4863.16
2014-06-12,4975.00,5019.00,4955.05,4997.95,36600,4888.60
2014-06-11,4965.00,5025.00,4916.35,5015.55,31700,4905.81
2014-06-10,4885.00,4990.00,4865.00,4965.20,27600,4856.56
2014-06-09,4912.00,4930.00,4879.00,4892.55,29700,4785.50
2014-06-06,4858.00,4945.00,4825.05,4921.00,29000,4813.33
2014-06-05,4763.05,4892.35,4763.05,4852.15,86200,4745.99
2014-06-04,4800.00,4839.55,4761.00,4769.60,14700,4665.24
2014-06-03,4780.00,4878.00,4780.00,4809.75,11600,4704.51
2014-06-02,4951.15,4951.15,4788.15,4799.65,18900,4694.63
2014-05-30,4752.00,5080.00,4738.00,4961.00,121000,4852.45
2014-05-29,4750.10,4799.00,4731.05,4784.05,21000,4679.37
2014-05-28,4725.05,4798.00,4725.00,4767.75,23500,4663.43
2014-05-27,4725.00,4750.00,4722.75,4737.75,25800,4634.09
2014-05-26,4787.00,4787.00,4725.00,4743.60,34500,4639.81
2014-05-23,4764.95,4783.90,4696.00,4744.25,26200,4640.45
2014-05-22,4696.10,4758.00,4663.00,4733.95,266400,4630.37
2014-05-21,4571.00,4700.05,4550.00,4693.15,26100,4590.46
2014-05-20,4580.00,4585.00,4525.00,4565.95,219500,4466.05
2014-05-19,4650.00,4673.10,4561.05,4585.85,26400,4485.51
2014-05-16,4798.00,4798.00,4605.05,4630.15,44000,4528.84
2014-05-15,4747.00,4774.95,4680.00,4708.80,26300,4605.77
2014-05-14,4798.85,4798.85,4725.10,4775.20,255600,4646.27
2014-05-13,4800.35,4880.00,4800.35,4873.50,50300,4741.91
2014-05-12,4795.00,4848.00,4746.90,4841.60,37300,4710.87
2014-05-09,4700.00,4795.00,4690.35,4781.90,90800,4652.78
2014-05-08,4681.05,4725.00,4681.05,4698.00,308600,4571.15
2014-05-07,4709.00,4724.80,4665.05,4681.05,40300,4554.66
2014-05-06,4706.00,4759.85,4670.10,4686.55,375600,4560.01
2014-05-05,4745.00,4775.00,4703.60,4709.90,77600,4582.73
2014-05-02,4755.00,4794.85,4721.00,4733.75,8100,4605.93
2014-05-01,4768.80,4768.80,4768.80,4768.80,000,4640.04
2014-04-30,4705.30,4780.00,4685.00,4768.80,31900,4640.04
2014-04-29,4705.00,4749.90,4703.10,4725.25,19500,4597.66
2014-04-28,4764.00,4796.05,4700.00,4705.25,18000,4578.20
2014-04-25,4726.00,4796.70,4726.00,4776.55,26500,4647.58
2014-04-24,4728.95,4728.95,4728.95,4728.95,000,4601.26
2014-04-23,4746.00,4760.00,4715.00,4728.95,18200,4601.26
2014-04-22,4728.65,4755.00,4713.00,4722.75,23600,4595.23
2014-04-21,4800.00,4800.00,4717.00,4723.50,23400,4595.96
2014-04-18,4763.25,4763.25,4763.25,4763.25,000,4634.64
2014-04-17,4805.00,4805.00,4750.05,4763.25,28800,4634.64
2014-04-16,4849.80,4859.65,4770.00,4779.15,13300,4650.11
2014-04-15,4828.90,4889.40,4770.00,4833.80,44800,4703.28
2014-04-14,4829.65,4829.65,4829.65,4829.65,000,4699.25
2014-04-11,4881.00,4894.10,4825.00,4829.65,19900,4699.25
2014-04-10,4913.65,4984.30,4838.50,4881.30,49000,4749.50
2014-04-09,4900.00,4994.95,4900.00,4929.65,30700,4796.55
2014-04-08,4917.25,4917.25,4917.25,4917.25,000,4784.48
2014-04-07,4875.00,4952.60,4825.00,4917.25,37900,4784.48
2014-04-04,4875.00,4890.00,4825.00,4835.85,29000,4705.28
2014-04-03,4895.00,4909.95,4839.85,4885.70,33700,4753.78
2014-04-02,4899.95,4910.00,4845.55,4865.55,53900,4734.18
2014-04-01,5069.00,5070.00,4832.50,4847.85,70600,4716.95
2014-03-31,4925.00,5070.00,4925.00,5028.75,52000,4892.97
2014-03-28,4900.00,4995.00,4845.00,4964.65,47600,4830.60
2014-03-27,4782.00,4925.00,4732.45,4859.75,67600,4728.53
2014-03-26,4755.00,4789.00,4710.00,4771.15,38500,4630.16
